"NFT_ID","Issuer","Taxon","Serial","Name","URI","CID","Owner","Description","Image","Image CID","Compiler","Schema","NftType","License","Attribute Uga Base","Attribute Tattoo","Attribute Head","Attribute Chest","Attribute Mouth","Attribute Nose","Attribute Eyes","Attribute Consular","Attribute Consular "
"00081388C545AA833857B145D4246271C0A22ECCF82FE189A8B2292E05841AC4","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","369","92543684","Consular 68","ipfs://QmPjSEV7qqETYWWH7Gi7ZRGKDmvKhKfwxT3ermPCakSVsC","QmPjSEV7qqETYWWH7Gi7ZRGKDmvKhKfwxT3ermPCakSVsC","ra3urKnAtu3R96Cc3G7k46dWRWFkZtCEAb","The Council of 81 holds the sacred keys to the jungle’s most profound mysteries. These chosen few are the guardians of the jungle’s highest truths, climbing the 33 degrees of the Uga Brethren to ascend into the Secret Order of Gnosis. Each 1-of-1 Uga in this exclusive collection represents a unique embodiment of primal wisdom, esoteric knowledge, and cosmic alignment. These are not merely NFTs, they are relics of power, symbols of ascension, and gateways to a deeper understanding of the vines. Airdropped to the Council Members","ipfs://QmYbRTyPu8epc3aQA2d4wFSCT8TEhtPYJ5i9F37kytfA4U","QmYbRTyPu8epc3aQA2d4wFSCT8TEhtPYJ5i9F37kytfA4U","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","Diplomacy",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE18991CC575705841AC3","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","9","92543683","Gnostic Elder UgaThoth","ipfs://QmaZefrXAHbgHVA6CiKsD5QribK6v2bcafbP3GJjHkt2d8","QmaZefrXAHbgHVA6CiKsD5QribK6v2bcafbP3GJjHkt2d8","ra3urKnAtu3R96Cc3G7k46dWRWFkZtCEAb","The Gnostic Elder Uga represents the ultimate transformation—from primal instinct to awakened mastery, from Grug-like simplicity to mystical enlightenment. Rooted in classic meme culture, yet infused with the archetypal wisdom of Elder Wojak, this legendary 1/1 embodies the fusion of ancient memetics and modern transcendence.","ipfs://QmXCgSKCAn4rheDmdMH15mTWDpvCTfUcmmJTPk5y38RzWD","QmXCgSKCAn4rheDmdMH15mTWDpvCTfUcmmJTPk5y38RzWD","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE1897AE6872C05841AC2","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","369","92543682","Consular 67","ipfs://QmY3oxBe6Ct9QsfXHGukWF4ZQ5K2BnghxzDf7TSNbuCT96","QmY3oxBe6Ct9QsfXHGukWF4ZQ5K2BnghxzDf7TSNbuCT96","rfnyGU1c6o5RkMGATqF1xT758VDRcoQUz2","The Council of 81 holds the sacred keys to the jungle’s most profound mysteries. These chosen few are the guardians of the jungle’s highest truths, climbing the 33 degrees of the Uga Brethren to ascend into the Secret Order of Gnosis. Each 1-of-1 Uga in this exclusive collection represents a unique embodiment of primal wisdom, esoteric knowledge, and cosmic alignment. These are not merely NFTs, they are relics of power, symbols of ascension, and gateways to a deeper understanding of the vines. Airdropped to the Council Members","ipfs://QmfHu7GpDnc2sa9KhKErLoapMRmue5NqCYCjvRj4mbfZsw","QmfHu7GpDnc2sa9KhKErLoapMRmue5NqCYCjvRj4mbfZsw","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","Diplomacy",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE1896400B42D05841AC1","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","369","92543681","Consular 66","ipfs://QmNTzKcVG7xRiPcQ7suipfWczNxfMUUepWLEC9BaYokETX","QmNTzKcVG7xRiPcQ7suipfWczNxfMUUepWLEC9BaYokETX","rG5x2Wo2haeBZpFCg37LVxmdHv9wZhNYw5","The Council of 81 holds the sacred keys to the jungle’s most profound mysteries. These chosen few are the guardians of the jungle’s highest truths, climbing the 33 degrees of the Uga Brethren to ascend into the Secret Order of Gnosis. Each 1-of-1 Uga in this exclusive collection represents a unique embodiment of primal wisdom, esoteric knowledge, and cosmic alignment. These are not merely NFTs, they are relics of power, symbols of ascension, and gateways to a deeper understanding of the vines. Airdropped to the Council Members","ipfs://Qme92qTbqMvw133cZKyQ3UG7SwnZTPqAHSrVegS7hZNmep","Qme92qTbqMvw133cZKyQ3UG7SwnZTPqAHSrVegS7hZNmep","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","Diplomacy",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE1894D1AE45205841AC0","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","9","92543680","Gnostic Elder Ugastellar","ipfs://QmU6pm4XELkG7yW9drz4pcGna2Sedt6QHjKWDDQunuJMZ8","QmU6pm4XELkG7yW9drz4pcGna2Sedt6QHjKWDDQunuJMZ8","rfnyGU1c6o5RkMGATqF1xT758VDRcoQUz2","The Gnostic Elder Uga represents the ultimate transformation—from primal instinct to awakened mastery, from Grug-like simplicity to mystical enlightenment. Rooted in classic meme culture, yet infused with the archetypal wisdom of Elder Wojak, this legendary 1/1 embodies the fusion of ancient memetics and modern transcendence.","ipfs://QmR9YuWMQRTmVxCBoeb6XeMb1sawQ15DpSHXbW373s4a7w","QmR9YuWMQRTmVxCBoeb6XeMb1sawQ15DpSHXbW373s4a7w","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE1893635122B05841ABF","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","369","92543679","Consular 65","ipfs://QmXWvAdL5yJXCstSmp5hMu96T9aGBAMYPxKaNpdpPNSasG","QmXWvAdL5yJXCstSmp5hMu96T9aGBAMYPxKaNpdpPNSasG","r3kgWqjB7BKerntUWWE2PcqThFHTzyCguF","The Council of 81 holds the sacred keys to the jungle’s most profound mysteries. These chosen few are the guardians of the jungle’s highest truths, climbing the 33 degrees of the Uga Brethren to ascend into the Secret Order of Gnosis. Each 1-of-1 Uga in this exclusive collection represents a unique embodiment of primal wisdom, esoteric knowledge, and cosmic alignment. These are not merely NFTs, they are relics of power, symbols of ascension, and gateways to a deeper understanding of the vines. Airdropped to the Council Members","ipfs://QmPxSaCdHFrBBBuegfmxhEafKN2oMqax6LzgeRVnaezXV7","QmPxSaCdHFrBBBuegfmxhEafKN2oMqax6LzgeRVnaezXV7","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","Diplomacy",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE1891F4F425005841ABE","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","9","92543678","Gnostic Elder AlUGArd","ipfs://QmRCm4N2x4n4AhsHyeGZwozktHsizdgjv1unfWv8npH4uf","QmRCm4N2x4n4AhsHyeGZwozktHsizdgjv1unfWv8npH4uf","r3kgWqjB7BKerntUWWE2PcqThFHTzyCguF","The Gnostic Elder Uga represents the ultimate transformation—from primal instinct to awakened mastery, from Grug-like simplicity to mystical enlightenment. Rooted in classic meme culture, yet infused with the archetypal wisdom of Elder Wojak, this legendary 1/1 embodies the fusion of ancient memetics and modern transcendence.","ipfs://QmW5jAzXskDkz1D84sYSYPMuG1bBN2anCHh4LEZRmCoLX7","QmW5jAzXskDkz1D84sYSYPMuG1bBN2anCHh4LEZRmCoLX7","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE1890869702905841ABD","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","369","92543677","Consular 65","ipfs://QmSQr85vs4hKdRpfZHpC4eEeayF61WdJnVp11nnhSoCbHY","QmSQr85vs4hKdRpfZHpC4eEeayF61WdJnVp11nnhSoCbHY","rPFkv3gypzAg2CKnJpy9aui2Z8XWfoB8Hg","The Council of 81 holds the sacred keys to the jungle’s most profound mysteries. These chosen few are the guardians of the jungle’s highest truths, climbing the 33 degrees of the Uga Brethren to ascend into the Secret Order of Gnosis. Each 1-of-1 Uga in this exclusive collection represents a unique embodiment of primal wisdom, esoteric knowledge, and cosmic alignment. These are not merely NFTs, they are relics of power, symbols of ascension, and gateways to a deeper understanding of the vines. Airdropped to the Council Members","ipfs://QmdM1opX8h5nvnKcWuU39eQATAvssnPKUnmi4D6adtfq3d","QmdM1opX8h5nvnKcWuU39eQATAvssnPKUnmi4D6adtfq3d","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","Diplomacy",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE189F183A05E05841ABC","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","9","92543676","Gnostic Elder Ugaroth","ipfs://QmSEUru4jYEpoF7QNAv6999KN7yp4gTKJTBfVKMCkQKoZW","QmSEUru4jYEpoF7QNAv6999KN7yp4gTKJTBfVKMCkQKoZW","rPFkv3gypzAg2CKnJpy9aui2Z8XWfoB8Hg","The Gnostic Elder Uga represents the ultimate transformation—from primal instinct to awakened mastery, from Grug-like simplicity to mystical enlightenment. Rooted in classic meme culture, yet infused with the archetypal wisdom of Elder Wojak, this legendary 1/1 embodies the fusion of ancient memetics and modern transcendence.","ipfs://QmbeqrvQihnQyRcVBjUr2dzyR7Cfdg341ZpFzewjSAknCf","QmbeqrvQihnQyRcVBjUr2dzyR7Cfdg341ZpFzewjSAknCf","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","",""
"00081388C545AA833857B145D4246271C0A22ECCF82FE189DA9DCE2705841ABB","rJzn2G1VoBFynqy9A8iRTJnbSt2bf6PPb9","369","92543675","Consular 64","ipfs://QmPhN7qZaYX6uXhxRw8ZH99s5CUd9weJTsvN3azLt7a3Mh","QmPhN7qZaYX6uXhxRw8ZH99s5CUd9weJTsvN3azLt7a3Mh","rXVyXXZR25qWQUo5367fGS33WCkjGQ3qd","The Council of 81 holds the sacred keys to the jungle’s most profound mysteries. These chosen few are the guardians of the jungle’s highest truths, climbing the 33 degrees of the Uga Brethren to ascend into the Secret Order of Gnosis. Each 1-of-1 Uga in this exclusive collection represents a unique embodiment of primal wisdom, esoteric knowledge, and cosmic alignment. These are not merely NFTs, they are relics of power, symbols of ascension, and gateways to a deeper understanding of the vines. Airdropped to the Council Members","ipfs://QmTATem42ygLEeqw3JLkFX5XhaTkDTKv7qHiwcmtm1y3Wi","QmTATem42ygLEeqw3JLkFX5XhaTkDTKv7qHiwcmtm1y3Wi","","ipfs://bafkreidtjf2ihiwtptiyadjfmesplo555iy2jdcwhfr6hkenr2z3fvxn2y","art.v0","None","","","","","","","","","Diplomacy"
